DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-09-19 09:33:19,10,998,0,24.544,62.033,499,355,177145,0,0,6.943,23.599
2025-09-19 09:33:21,10,2360,0,10.386,3.134,1180,355,418900,0,0,3.866,9.947
2025-09-19 09:33:23,10,2365,0,8.288,3.465,1182.5,355,419787.5,0,0,3.249,7.99
2025-09-19 09:33:25,10,2883,0,6.8,2.05,1441.5,355,511732.5,0,0,2.682,6.523
2025-09-19 09:33:27,10,2952,0,6.64,2.597,1476,355,523980,0,0,2.645,6.379
2025-09-19 09:33:29,10,2747,0,7.17,2.534,1373.5,355,487592.5,0,0,2.927,6.926
2025-09-19 09:33:31,10,1720,1372,6.318,1.962,860,355,305300,0,0,2.603,6.106
2025-09-19 09:33:33,10,2,3029,7.5,0.5,1,355,355,0,0,2.5,6.5
2025-09-19 09:33:35,10,0,2951,0,0,0,0,0,0,0,0,0
2025-09-19 09:33:37,10,0,2819,0,0,0,0,0,0,0,0,0
2025-09-19 09:33:39,10,0,2922,0,0,0,0,0,0,0,0,0
2025-09-19 09:33:41,10,0,2914,0,0,0,0,0,0,0,0,0
2025-09-19 09:33:43,10,0,3151,0,0,0,0,0,0,0,0,0
